side,index,id,name_or_title,topic
reviewer,165,A002373,jun-ichi takeuchi,T16
reviewer,166,A002376,junghoo cho,T144
reviewer,167,A002393,jussi myllymaki,T144
reviewer,168,A002397,justin zobel,T24
reviewer,169,A002413,kai ming ting,T16
reviewer,170,A002414,kai yu,T131
reviewer,171,A002458,kazumi saito,T16
reviewer,172,A002479,kenji yamanishi,T16
reviewer,173,A002491,kent a. spackman,T145
reviewer,174,A002501,kevin p. murphy,T131
reviewer,175,A002543,kotagiri ramamohanarao,T16
reviewer,176,A002551,kristin p. bennett,T16
reviewer,177,A002585,kyuseok shim,T16
reviewer,178,A002625,lee a. hollaar,T24
reviewer,179,A002626,lee-feng chien,T16
reviewer,180,A002658,li ding,T144
reviewer,181,A002660,li ma,T144
reviewer,182,A002670,liangzhao zeng,T107
reviewer,183,A002692,lipyeow lim,T107
reviewer,184,A002701,liviu badea,T145
reviewer,185,A002707,ljupco todorovski,T16
reviewer,186,A002731,luc de raedt,T16
reviewer,187,A002742,luis e. ortiz,T131
reviewer,188,A002751,luis torgo,T16
reviewer,189,A002771,m. omair shafiq,T107
reviewer,190,A002809,manfred jaeger,T131
reviewer,191,A002810,manfred k. warmuth,T131
reviewer,192,A002843,marco pistore,T107
reviewer,193,A002861,margaret h. dunham,T16
reviewer,194,A002955,martin ester,T16
reviewer,195,A003001,massimo paolucci,T107
reviewer,196,A003024,matthew richardson,T144
reviewer,197,A003043,maurice van keulen,T131
reviewer,198,A003046,maurizio lenzerini,T145
reviewer,199,A003053,max welling,T131
reviewer,200,A003062,mehran sahami,T16
reviewer,201,A003067,melanie hilario,T16
reviewer,202,A003084,michael collins,T131
reviewer,203,A003106,michael i. jordan,T131
reviewer,204,A003109,michael j. kearns,T131
reviewer,205,A003130,michael r. berthold,T131
reviewer,206,A003133,michael rabinovich,T144
reviewer,207,A003191,mike p. papazoglou,T107
reviewer,208,A003195,mikhail bilenko,T145
reviewer,209,A003202,milos hauskrecht,T131
reviewer,210,A003207,min-yen kan,T144
reviewer,211,A003212,ming-syan chen,T16
reviewer,212,A003219,miroslav kubat,T16
reviewer,213,A003279,nada lavrac,T16
reviewer,214,A003294,nando de freitas,T131
reviewer,215,A003304,natasa milic-frayling,T144
reviewer,216,A003308,nathalie japkowicz,T16
reviewer,217,A003312,nathan srebro,T131
reviewer,218,A003322,nenad stojanovic,T144
reviewer,219,A003329,nicholas kushmerick,T144
reviewer,220,A003333,nick craswell,T144
reviewer,221,A003370,ning zhong,T144
reviewer,222,A003371,nir friedman,T131
reviewer,223,A003375,nitesh v. chawla,T16
reviewer,224,A003377,nivio ziviani,T144
reviewer,225,A003411,olfa nasraoui,T144
reviewer,226,A003439,opher etzion,T145
reviewer,227,A003464,padhraic smyth,T16
reviewer,228,A003485,paolo merialdo,T144
reviewer,229,A003548,paul r. cohen,T131
reviewer,230,A003556,paul w. p. j. grefen,T107
reviewer,231,A003558,paul-alexandru chirita,T144
reviewer,232,A003567,pavel brazdil,T16
reviewer,233,A003574,pavel zezula,T24
reviewer,234,A003582,peer kroger,T16
reviewer,235,A003602,peter clark,T145
reviewer,236,A003613,peter grunwald,T131
reviewer,237,A003665,philip s. yu,T16
reviewer,238,A003684,piero fraternali,T144
reviewer,239,A003758,rajeev rastogi,T16
reviewer,240,A003767,ralf rantzau,T16
reviewer,241,A003775,ramakrishnan srikant,T144
reviewer,242,A003785,ramon lopez de mantaras,T131
reviewer,243,A003806,rayid ghani,T16
reviewer,244,A003821,remco r. bouckaert,T131
reviewer,245,A003834,ricardo a. baeza-yates,T144
reviewer,246,A003836,ricardo bezerra de andrade e silva,T16
reviewer,247,A003843,rich caruana,T131
reviewer,248,A003852,richard hull,T107
reviewer,249,A003860,richard m. tong,T131
reviewer,250,A003861,richard nock,T16
reviewer,251,A003929,roberto j. bayardo jr.,T144
reviewer,252,A003945,roger s. barga,T145
reviewer,253,A003959,ron kohavi,T16
reviewer,254,A003969,ronald parr,T131
reviewer,255,A003979,ronny lempel,T144
reviewer,256,A003988,ross d. king,T16
reviewer,257,A004011,ruoming jin,T16
reviewer,258,A004020,s. k. michael wong,T131
reviewer,259,A004027,saharon rosset,T16
reviewer,260,A004070,sanjay modgil,T131
reviewer,261,A004083,sarabjot s. anand,T144
reviewer,262,A004087,saso dzeroski,T16
reviewer,263,A004089,satinder p. singh,T131
reviewer,264,A004097,savitha srinivasan,T144
reviewer,265,A004116,sebastian michel,T24
reviewer,266,A004176,shenghua bao,T145
reviewer,267,A004197,shlomo argamon,T16
reviewer,268,A004199,shlomo geva,T16
reviewer,269,A004211,shumeet baluja,T131
reviewer,270,A004225,sihem amer-yahia,T144
reviewer,271,A004276,spiros papadimitriou,T16
reviewer,272,A004277,sreangsu acharyya,T144
reviewer,273,A004305,stefan kramer,T16
reviewer,274,A004317,stefan wrobel,T16
reviewer,275,A004323,stefano monti,T131
reviewer,276,A004324,stefano paraboschi,T144
reviewer,277,A004330,steffen staab,T144
reviewer,278,A004361,steve lawrence,T144
reviewer,279,A004378,stratos idreos,T145
reviewer,280,A004402,sunita sarawagi,T16
reviewer,281,A004415,susie stephens,T145
reviewer,282,A004416,suvrit sra,T16
reviewer,283,A004438,tak-lam wong,T144
reviewer,284,A004440,takahira yamaguchi,T145
reviewer,285,A004463,tao tao,T16
reviewer,286,A004468,tapio elomaa,T16
reviewer,287,A004475,terence critchlow,T16
reviewer,288,A004478,terran lane,T16
reviewer,289,A004514,thomas l. griffiths,T131
reviewer,290,A004515,thomas lukasiewicz,T131
reviewer,291,A004539,thorsten joachims,T16
reviewer,292,A004548,tim oates,T16
reviewer,293,A004566,tobias scheffer,T16
reviewer,294,A004578,tom m. mitchell,T16
reviewer,295,A004582,tomas vitvar,T107
reviewer,296,A004588,tommi jaakkola,T131
reviewer,297,A004595,tony jebara,T131
reviewer,298,A004621,udo kruschwitz,T145
reviewer,299,A004625,ulf brefeld,T16
reviewer,300,A004629,ulrich kuster,T107
paper,1,T107_0,Automatic Deployment of Application-Specific Metadata and Code in MOCHA,T107
paper,2,T107_1,MOCHA: A Self-Extensible Database Middleware System for Distributed Data Sources,T107
paper,3,T107_10,Evaluation of Correctness Criteria for Dynamic Workflow Changes,T107
paper,4,T107_100,Reusing Analogous Components,T107
paper,5,T107_101,A Formal Approach to Reusing More General Components,T107
paper,6,T107_102,Using Formal Methods to Construct a Software Component Library,T107
paper,7,T107_103,"Unraveling the Web Services Web: An Introduction to SOAP, WSDL, and UDDI",T107
paper,8,T107_104,Mining Social Networks: Uncovering Interaction Patterns in Business Processes,T107
paper,9,T107_105,Discovering Social Networks from Event Logs,T107
paper,10,T107_106,Knowledge-Based Schema Analysis in a Multi-Database,T107
paper,11,T107_107,A Unified Framework for Supporting Dynamic Schema Evolution in Object Databases,T107
paper,12,T107_108,Dealing with Version Pertinence to Design an Efficient Schema Evolution Framework,T107
paper,13,T107_109,Roles: A Methodology for Representing Multifaceted Objects,T107
paper,14,T107_11,Using the pi-Calculus for Formalizing Workflow Patterns,T107
paper,15,T107_110,Concurrency Control and Recovery in Transactional Process Management,T107
paper,16,T107_12,Combining Theory and Practice in Integrity Control: A Declarative Approach to the Specification of a Transaction Modification Subsystem,T107
paper,17,T107_13,Parallel Handling of Integrity Constraints on Fragmented Relations,T107
paper,18,T107_14,A Simple Analysis of the LRU Buffer Policy and Its Relationship to Buffer Warm-Up Transient,T107
paper,19,T107_15,Analytical Modeling of a Hierarchical Buffer for a Data Sharing Environment,T107
paper,20,T107_16,The Design and Implementation of K: A High-Level Knowledge-Base Programming Language of OSAM*.KBMS,T107
paper,21,T107_17,An Extensible Kernel Object Management System,T107
paper,22,T107_18,Dispatching Multiple Mobile Agents in Parallel for Visiting E-Shops,T107
paper,23,T107_19,Several Structures for Protecting the Routes of Mobile Agents Dispatched in Parallel,T107
paper,24,T107_2,A Scalable Architecture for Autonomous Heterogeneous Database Interactions,T107
paper,25,T107_20,The Application of Petri Nets to Workflow Management,T107
paper,26,T107_21,Processes Driving the Networked Economy,T107
paper,27,T107_22,Algorithms for Asynchronous Parallel Processing of Object-Oriented Databases,T107
paper,28,T107_23,An Object Flow Computer for Database Applications: Design and Performance Evaluation,T107
paper,29,T107_24,Association Algebra: A Mathematical Foundation for Object-Oriented Databases,T107
paper,30,T107_25,OSAM*KBMS: An Object-Oriented Knowledge Base Management System for Supporting Advanced Applications,T107
paper,31,T107_26,Service Interaction Patterns,T107
paper,32,T107_27,Formalizing Service Interactions,T107
paper,33,T107_28,Business Process Management: A Survey,T107
paper,34,T107_29,"IEEE Internet Computing: Spotlight - Unraveling the Web Services Web: An Introduction to SOAP, WSDL, and UDDI",T107
paper,35,T107_3,Large Multidatabases: Beyond Federation and Global Schema Integration,T107
paper,36,T107_30,Conceptual Model of Web Service Reputation,T107
paper,37,T107_31,Using Interval Timed Coloured Petri Nets to Calculate Performance Bounds,T107
paper,38,T107_32,Interval Timed Coloured Petri Nets and their Analysis,T107
paper,39,T107_33,Effect of System Dynamics on Coupling Architectures for Transaction Processing,T107
paper,40,T107_34,An Approximate Analysis of the LRU and FIFO Buffer Replacement Schemes,T107
paper,41,T107_35,Building Internet Marketplaces on the Basis of Mobile Agents for Parallel Processing,T107
paper,42,T107_36,Verification of Forbidden Behavior in EPCs,T107
paper,43,T107_37,Model-Driven Trust Negotiation for Web Services,T107
paper,44,T107_38,Ontological Approach for Information Discovery in Internet Databases,T107
paper,45,T107_39,Performance Analysis of Affinity Clustering on Transaction Processing Coupling Architecture,T107
paper,46,T107_4,The Web Service Modeling Framework WSMF,T107
paper,47,T107_40,Performance Analysis of Coherency Control Policies through Lock Retention,T107
paper,48,T107_41,An optimal pinwheel scheduler using the single-number reduction technique,T107
paper,49,T107_42,The design and implementation of real-time schedulers in RED-linux,T107
paper,50,T107_43,On Dealing with Structural Conflicts between Process Type and Instance Changes,T107
paper,51,T107_44,Building A Robust Workflow Management System With Persistent Queues and Stored Procedures,T107
paper,52,T107_45,Transaktionsunterstutzung fur Workflows,T107
paper,53,T107_46,Database Access Characterization for Buffer Hit Prediction,T107
paper,54,T107_47,Generating a Process Model from a Process Audit Log,T107
paper,55,T107_48,Process Mining: Discovering Direct Successors in Process Logs,T107
paper,56,T107_49,Buffer Analysis for a Data Sharing Environment with Skewed Data Access,T107
paper,57,T107_5,A Conceptual Architecture for Semantic Web Enabled Web Services,T107
paper,58,T107_50,The Distributed Interoperable Object Model and Its Application to Large-scale Interoperable Database Systems,T107
paper,59,T107_51,Guest Editors' Introduction to the Special Issue on Heterogeneous Databases,T107
paper,60,T107_52,Characterization of Database Access Pattern for Analytic Prediction of Buffer Hit Probability,T107
paper,61,T107_53,Performance Modelling and Comparisons of Global Shared Buffer Management Policies in a Cluster Environment,T107
paper,62,T107_54,Web Service Composition Languages: Old Wine in New Bottles?,T107
paper,63,T107_55,Workflow Verification: Finding Control-Flow Errors Using Petri-Net-Based Techniques,T107
paper,64,T107_56,Modeling Business Collaborations in Context,T107
paper,65,T107_57,**DIR**-XML2 - Unambiguous access to XML-based business documents in B2B e-commerce,T107
paper,66,T107_58,An Association Algebra For Processing Object-Oriented Databases,T107
paper,67,T107_59,Analysis of the Generalized Clock Buffer Replacement Scheme for Database Transaction Processing,T107
paper,68,T107_6,Facilitating the Rapid Development and Scalable Orchestration of Composite Web Services,T107
paper,69,T107_60,A Configurable Approach for Object Sharing Among Multidatabase Systems,T107
paper,70,T107_61,Determining Schema Interdependencies in Object-Oriented Multidatabase Systems,T107
paper,71,T107_62,Performance Evaluation of Integrity Control in a Parallel Main-Memory Database System,T107
paper,72,T107_63,Inter-operability of Workflow Applications: Local Criteria for Global Soundness,T107
paper,73,T107_64,Challenges in Business Process Management: Verification of Business Processing Using Petri Nets,T107
paper,74,T107_65,Flexible Composition of Enterprise Web Services,T107
paper,75,T107_66,Automated Service Composition Using Heuristic Search,T107
paper,76,T107_67,Characterization of Database Access Skew in a Transaction Processing Environment,T107
paper,77,T107_68,Implementing a General Real-Time Scheduling Framework in the RED-Linux Real-Time Kernel,T107
paper,78,T107_69,Building Flexible Real-Time Systems Using the Flex Language,T107
paper,79,T107_7,The Self-Serv Environment for Web Services Composition,T107
paper,80,T107_70,Algebraic Change Propagation for Semijoin and Outerjoin Queries,T107
paper,81,T107_71,A Framework for Supporting Data Integration Using the Materialized and Virtual Approaches,T107
paper,82,T107_72,Object-Oriented Design of a Flexible Workflow Management System,T107
paper,83,T107_73,ADEPTflex-Supporting Dynamic Changes of Workflows Without Losing Control,T107
paper,84,T107_74,Mining Workflow Recovery from Event Based Logs,T107
paper,85,T107_75,Algorithms for Materialized View Design in Data Warehousing Environment,T107
paper,86,T107_76,A Framework for Designing Materialized Views in Data Warehousing Environment,T107
paper,87,T107_77,Managing Business Processes an an Information Resource,T107
paper,88,T107_78,An Online Video Placement Policy based on Bandwith to Space Ratio (BSR),T107
paper,89,T107_79,Issues in the Design of Multi-Server File Systems to Cope with Load Skew,T107
paper,90,T107_8,Query Reformulation Using Materialized Views in Data Warehousing Environment,T107
paper,91,T107_80,Supporting Business Transactions Via Partial Backward Recovery In Workflow Management Systems,T107
paper,92,T107_81,An Extensible Knowledge Base Management System for Supporting Rule-based Interoperability among Heterogeneous Systems,T107
paper,93,T107_82,NCL: A Common Language for Achieving Rule-Based Interoperability Among Heterogeneous Systems,T107
paper,94,T107_83,Evaluation of Generic Process Design Patterns: An Experimental Study,T107
paper,95,T107_84,Service Agents and Virtual Enterprises: A Survey,T107
paper,96,T107_85,Transforming UMM Business Collaboration Models to BPEL,T107
paper,97,T107_86,From Inter-organizational Workflows to Process Execution: Generating BPEL from WS-CDL,T107
paper,98,T107_87,Integrity Control in Relational Database Systems - An Overview,T107
paper,99,T107_88,The Effect of Skewed Data Access on Buffer Hits and Data Contention an a Data Sharing Environment,T107
paper,100,T107_89,Integrating Priority with Share in the Priority-Based Weighted Fair Queuing Scheduler for Real-Time Networks,T107
paper,101,T107_9,An Extended Query Reformulation Technique Using Materialized Views,T107
paper,102,T107_90,Mining Process Models from Workflow Logs,T107
paper,103,T107_91,Updates and Application Migration Support in an ODMG Temporal Extension,T107
paper,104,T107_92,Handling Temporal Grouping and Pattern-Matching Queries in a Temporal Object Model,T107
paper,105,T107_93,Tackling the Challenges of Materialized View Design in Data Warehousing Environment,T107
paper,106,T107_94,CapBasED-AMS: A Capability-based and Event-driven Activity Management System,T107
paper,107,T107_95,CapBasED-AMS - A Framework for Capability-Based and Event-Driven Activity Management System,T107
paper,108,T107_96,Materialized View Evolution Support in Data Warehouse Environment,T107
paper,109,T107_97,Flexible Support of Team Processes by Adaptive Workflow Systems,T107
paper,110,T107_98,A Rule-based Language for Deductive Object-Oriented Databases,T107
paper,111,T107_99,Recovery Analysis of Data Sharing Systems under Deferred Dirty Page Propagation Policies,T107
paper,112,T131_0,Current Approaches to Handling Imperfect Information in Data and Knowledge Bases,T131
paper,113,T131_1,Towards Possibilistic Logic Programming,T131
paper,114,T131_10,Application of the Evolutionary Algorithms for Classifier Selection in Multiple Classifier Systems with Majority Voting,T131
paper,115,T131_11,New Measure of Classifier Dependency in Multiple Classifier Systems,T131
paper,116,T131_12,Combinatorial auctions for supply chain formation,T131
paper,117,T131_13,"AkBA: a progressive, anonymous-price combinatorial auction",T131
paper,118,T131_14,An Open-Frame Theory of Incomplete Interval Probabilities,T131
paper,119,T131_15,Bodies of Evidence Versus Simple Interval Probabilities,T131
paper,120,T131_16,Alternative Representations of Discrete Fuzzy Measures for Decision Making,T131
paper,121,T131_17,How to Improve Acts: An Alternative Representation of the Importance of Criteria in MCDM,T131
paper,122,T131_18,A Guide to the Literature on Learning Probabilistic Networks from Data,T131
paper,123,T131_19,A Theory of Inferred Causation,T131
paper,124,T131_2,A local handling of inconsistent knowledge and default bases,T131
paper,125,T131_20,Ant Colony Optimization and Stochastic Gradient Descent,T131
paper,126,T131_21,Updating ACO Pheromones Using Stochastic Gradient Ascent and Cross-Entropy Methods,T131
paper,127,T131_22,Conjectural Equilibrium in Multiagent Learning,T131
paper,128,T131_23,Probabilities for a probabilistic network: a case study in oesophageal cancer,T131
paper,129,T131_24,Bayesian networks in biomedicine and health-care,T131
paper,130,T131_25,Taxonomic and Uncertain Integrity Constraints in Object-Oriented Databases - the TOP Approach,T131
paper,131,T131_26,Uncertain Reasoning in Concept Lattices,T131
paper,132,T131_27,Clustering interval-valued proximity data using belief functions,T131
paper,133,T131_28,Multidimensional scaling of interval-valued dissimilarity data,T131
paper,134,T131_29,An Alternative Approach to Computing with Words,T131
paper,135,T131_3,A review of uncertainty handling formalisms,T131
paper,136,T131_30,The Application of Generalised Fuzzy Rules to Machine Learning and Automated Knowledge Discovery,T131
paper,137,T131_31,Constructor: A System for the Induction of Probabilistic Models,T131
paper,138,T131_32,Operations for Learning with Graphical Models,T131
paper,139,T131_33,A Bayesian Method for Learning Belief Networks that Contain Hidden Variables,T131
paper,140,T131_34,Feature subset selection by genetic algorithms and estimation of distribution algorithms - A case study in the survival of cirrhotic patients treated with TIPS,T131
paper,141,T131_35,An evaluation of machine-learning methods for predicting pneumonia mortality,T131
paper,142,T131_36,Forecasting market demand for new telecommunications services: an introduction,T131
paper,143,T131_37,"Automated Reasoning Using Possibilistic Logic: Semantics, Belief Revision, and Variable Certainty Weights",T131
paper,144,T131_38,Epistemic Entrenchment and Possibilistic Logic,T131
paper,145,T131_39,"Prioritised fuzzy constraint satisfaction problems: axioms, instantiation and validation",T131
paper,146,T131_4,A Bayesian Method for the Induction of Probabilistic Networks from Data,T131
paper,147,T131_40,A fuzzy constraint satisfaction problem in the wine industry,T131
paper,148,T131_41,Filter versus wrapper gene selection approaches in DNA microarray domains,T131
paper,149,T131_42,A collaborative intelligent tutoring system for medical problem-based learning,T131
paper,150,T131_43,Modeling Individual and Collaborative Problem Solving in Medical Problem-Based Learning,T131
paper,151,T131_44,Background to and perspectives on possibilistic graphical models,T131
paper,152,T131_45,Decision Analysis and Expert Systems,T131
paper,153,T131_46,Optimal Structure Identification With Greedy Search,T131
paper,154,T131_47,A Hybrid Approach for Modeling Uncertainty in Terminological Logics,T131
paper,155,T131_48,Betting boolean-style: a framework for trading in securities based on logical formulas,T131
paper,156,T131_49,"A dynamic pari-mutuel market for hedging, wagering, and information aggregation",T131
paper,157,T131_5,A Probabilistic Object-Oriented Data Model,T131
paper,158,T131_50,Combining Configurational and Statistical Approaches in Image Retrieval,T131
paper,159,T131_51,An Approach to Using XML and a Rule-Based Content Language with an Agent Communication Language,T131
paper,160,T131_52,Representing e-commerce rules via situated courteous logic programs in RuleML,T131
paper,161,T131_53,Model-based diagnosis: A probabilistic extension,T131
paper,162,T131_54,Autonomous Bidding Agents in the Trading Agent Competition,T131
paper,163,T131_55,Bid determination in simultaneous actions an agent architecture,T131
paper,164,T131_56,Classifier selection for majority voting,T131
paper,165,T131_57,"A Hybrid Model for Sharing Information Between Fuzzy, Uncertain and Default Reasoning Models in Multi-agent Systems",T131
paper,166,T131_58,LSLNCF: A Hybrid Uncertain Reasoning Model Based on Probability,T131
paper,167,T131_59,The Computational Complexity of Probabilistic Inference Using Bayesian Belief Networks,T131
paper,168,T131_6,Learning Equivalence Classes of Bayesian-Network Structures,T131
paper,169,T131_60,An ordinal approach to the processing of fuzzy queries with flexible quantifiers,T131
paper,170,T131_61,Representing Default Rules in Possibilistic Logic,T131
paper,171,T131_62,Uncertainty measures associated with fuzzy rules for connection admission control in ATM Networks,T131
paper,172,T131_63,An improved Bayesian structural EM algorithm for learning Bayesian networks for clustering,T131
paper,173,T131_64,Learning Bayesian networks for clustering by means of constructive induction,T131
paper,174,T131_65,Using Probabilistic Information in Data Integration,T131
paper,175,T131_66,P-CLASSIC: A Tractable Probablistic Description Logic,T131
paper,176,T131_67,Value-Added Databases: Knowledge Discovery and Evidential Reasoning (Invited Paper),T131
paper,177,T131_68,Database Mining in the Architecture of a Semantic Preprocessor for State Aware Query Optimization,T131
paper,178,T131_69,Nash Q-Learning for General-Sum Stochastic Games,T131
paper,179,T131_7,Unsupervised Learning Of Bayesian Networks Via Estimation Of Distribution Algorithms: An Application To Gene Expression Data Clustering,T131
paper,180,T131_70,Classifiers: A Theoretical and Empirical Study,T131
paper,181,T131_71,Arguing about beliefs and actions,T131
paper,182,T131_72,Using Bayesian networks in the construction of a bi-level multi-classifier. A case study using intensive care unit patients data,T131
paper,183,T131_73,Bayesian network multi-classifiers for protein secondary structure prediction,T131
paper,184,T131_74,Graphical Models for Discivering Knowledge,T131
paper,185,T131_75,Accelerated Quantification of Bayesian Networks with Incomplete Data,T131
paper,186,T131_76,Resample and combine: an approach to improving uncertainty representation in evidential pattern classification,T131
paper,187,T131_77,Presentation and description of two classification methods using data fusion based on sensor management,T131
